,Control_0,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,Control_21,Control_22,Control_23,Control_24,Control_25,Control_26,Control_27,Control_28,Control_29,Control_30,Control_31,Control_32,Control_33,Control_34,Control_35,Control_36,Control_37,Control_38,Control_39,Control_40,Control_41,Control_42,Control_43,Control_44,Control_45,Control_46,Control_47,Control_48,Control_49,AD_0,AD_1,AD_2,AD_3,AD_4,AD_5,AD_6,AD_7,AD_8,AD_9,AD_10,AD_11,AD_12,AD_13,AD_14,AD_15,AD_16,AD_17,AD_18,AD_19,AD_20,AD_21,AD_22,AD_23,AD_24,AD_25,AD_26,AD_27,AD_28,AD_29,AD_30,AD_31,AD_32,AD_33,AD_34,AD_35,AD_36,AD_37,AD_38,AD_39,AD_40,AD_41,AD_42,AD_43,AD_44,AD_45,AD_46,AD_47,AD_48,AD_49
A1BG,19.42114489,20.09651269,19.96145938,19.45697866,19.8414052,19.42832225,19.9964087,20.01690648,19.45398729,19.56975261,19.65774309,20.06091611,20.05766577,19.86538726,20.27046851,19.93891014,19.88424979,19.74834693,20.01718086,19.83572039,19.52567113,20.01383444,20.04283723,19.79387032,19.78700961,19.74074894,19.97449789,20.19038684,19.46066193,20.0155668,20.10483223,20.29573928,19.82583776,19.70534145,20.23750085,20.13667949,19.85721989,20.01725487,20.23237184,19.24992867,20.08076745,19.92282694,19.71480448,19.66418421,19.67938618,19.29642217,20.20606061,19.8556134,20.06096646,19.68094597,19.96828931,19.91060716,19.39191294,19.89949745,20.07601094,19.77368012,19.66696774,20.02700448,20.18790764,19.94348584,19.66219353,19.99200841,19.90148397,19.89799862,19.36243527,19.89559128,19.63248745,19.73196002,19.99880962,19.56466422,19.74736746,19.74201799,19.75535971,19.39648007,19.35267689,19.74885153,19.58801573,19.65623812,19.88281007,20.0459567,20.07406327,19.53085026,19.66312938,19.96622788,19.79264421,19.52146536,20.05318351,19.68350334,19.82248349,19.94929735,19.73684373,19.57236555,19.65277814,19.80650315,19.38896875,19.79162323,19.88577678,19.65078686,19.45423493,20.55029473
A1CF,15.90698929,15.85155499,16.04588463,15.87155102,15.89621954,15.89373614,15.87748576,15.8445345,15.90403208,15.83948053,16.00007446,15.95609503,15.9793967,15.91153913,16.01949857,15.96280766,16.14197594,16.05245942,15.91452446,15.79181534,16.02768,15.89155304,15.96850772,16.07210525,15.81605964,16.08787485,15.95575148,15.94584513,15.90891352,15.9123359,15.87924812,15.89171836,15.8863706,15.76773077,15.89882787,15.92953074,15.96648014,15.99429868,15.85649363,15.87508994,16.02267621,15.83119052,15.86927776,15.89547218,16.00269156,15.86292629,16.07098738,15.94063478,15.98763038,15.86984166,15.90441889,15.96830325,15.87081576,16.06298531,16.01482858,15.87598408,15.83807074,15.96530952,15.90888254,15.80743977,15.9511296,15.97496956,15.89054598,15.94065369,15.87092937,15.8734118,15.95415135,15.82957767,15.94267594,16.03837432,15.85632656,15.98496691,15.98015849,15.92913914,15.85031411,15.92749486,15.83782303,15.89076162,15.83746849,15.91636909,15.99065957,15.83896584,16.01665097,16.05935561,15.98063134,15.82901511,16.12269986,15.97262693,15.95866573,15.74273256,15.97995571,15.91620867,15.91177876,15.98011723,15.8783228,15.83620729,15.8759581,16.02179613,15.85853805,15.98017281
A2M,3064.987057,3011.312291,3068.695826,3048.450847,3067.996184,3070.3221,2976.601726,3024.213457,3059.575239,3033.483205,3030.866287,2984.271305,2979.325048,3019.912378,3025.421135,2994.431556,3049.085651,3063.062533,2969.724301,3018.951641,3066.785876,2947.645592,2986.528152,3070.185704,3022.842276,3097.579209,3026.205262,3028.452076,3097.920701,2982.421998,2996.495149,2968.435455,2993.409652,3060.727701,2970.483952,2983.542985,3070.174945,3022.617592,2960.583392,3010.457274,3059.848854,2959.474155,3050.547056,2972.983845,2996.283529,3039.417657,3048.989038,3046.683155,3004.597833,3008.811609,3047.853712,3027.086015,3030.878121,3044.312926,3116.725939,2993.486508,2969.881876,3043.804933,3010.511737,2979.028093,3061.289175,3068.799883,2988.261226,3008.593327,3037.393566,3015.385552,3041.952607,3031.743279,3050.320089,3098.643664,3027.0671,3072.890153,3073.54007,3084.441176,3038.709609,2955.69179,2998.987306,2990.684756,3030.630197,2995.131141,2938.815789,3042.210994,3099.062684,3062.7952,3027.189077,2995.993121,3029.708515,3048.619277,2989.202342,2992.739955,3097.390914,3095.359599,3019.725755,3041.149414,2993.209507,3020.490288,3025.589628,2987.63054,2984.650512,2990.339841
A2ML1,32.51507482,32.15440847,32.28152785,32.50402855,32.32777162,32.12839867,31.93626262,31.93743398,32.43979315,32.097295,32.23016121,32.24671809,31.84454724,32.40399585,31.95797253,32.36004466,32.14121324,31.95201974,31.68514698,32.18220851,32.11771266,31.74791456,31.72221884,32.54555851,32.06934717,32.17092878,32.08741592,31.38255301,32.09816364,31.98849735,32.0632539,31.64838126,32.2787601,32.31395291,31.65540952,31.60398154,32.49846752,32.068193,31.8569407,31.92264941,31.62264842,31.92652021,31.79192105,31.90552233,31.75054862,32.47121531,32.24235116,32.64455563,31.87591118,31.66854434,32.53859881,32.10479877,32.08625565,31.92864604,31.74095605,31.97910065,31.94236432,32.31351337,32.1988127,31.68325848,32.23475763,32.17298792,31.89557165,31.82675144,31.81704232,31.88384047,32.53140435,32.1098963,32.21107063,32.01359625,32.29320327,32.12730476,31.90615278,31.84302888,32.63835209,31.32442324,32.15722107,32.1520998,32.05915337,31.72841642,31.90879731,31.64105357,32.61018915,31.83865646,31.81068713,32.25184208,31.69217833,32.03213648,31.71382865,31.91066647,32.36238753,32.15822102,32.28823279,32.16869702,32.32244481,31.79533649,32.59739812,32.11651916,32.50450874,31.97801324
A4GALT,79.17458831,79.94301503,78.64457927,79.22128292,78.26535457,78.76305337,78.66101134,80.00816826,77.67711614,78.06408333,78.43972098,78.97475202,79.29713113,79.88590452,79.86109693,79.16681456,77.5772664,78.70235314,79.83354246,79.04065945,78.2464958,77.74881464,79.58910535,78.75467432,77.76559831,77.77415614,78.306163,79.31402885,77.66378218,78.96255342,79.02419003,79.86839823,78.69855498,79.06046968,80.52989594,78.83850906,79.58406564,78.94018118,79.26876658,77.81687568,79.24525803,78.15447526,77.99725452,78.870985,78.82277024,79.15047622,79.40803491,78.90258231,78.72090425,77.92593315,78.57921694,78.29132594,78.28111963,79.09674163,79.04567765,78.37175777,78.91376808,78.28811521,78.58221205,78.27409012,77.56337592,79.38979193,78.66179045,77.71284818,77.74891588,78.98798382,78.97361928,79.71301375,78.30904464,76.89976856,78.34648742,78.42034926,79.26933201,76.80784917,77.95804297,77.85353099,78.49789008,78.23284458,78.77951128,79.48559483,78.3351431,77.19466158,78.81200106,79.46115935,78.37873696,78.00852607,79.51896007,77.97574089,80.02423814,79.0074714,77.84170473,78.5115252,78.2038789,79.35741798,77.77123985,77.75744692,78.94022492,78.33200353,78.68258538,80.48118683
A4GNT,49.15620265,49.63170483,49.11311051,49.32645997,49.80813957,49.4232474,49.60456491,49.30345158,49.04625712,49.06458815,49.27971751,49.72768982,48.94087451,49.22926106,49.37721699,48.85171098,50.08217984,48.61100015,48.78321419,49.16047644,49.26591725,49.66425075,48.95844923,49.23855425,49.3742633,49.19621571,49.32325265,49.12275297,49.05309045,49.71749884,49.67724516,48.88502722,49.49049809,49.1885393,48.66177494,48.95564976,49.0527488,48.88079769,49.29700476,49.53713963,48.42931307,49.46861999,48.80578619,49.02370354,49.3742496,48.48786259,49.13359321,49.44729237,49.28758408,49.18401863,49.41968295,48.86455962,48.63897251,49.20730499,49.15740456,49.57432538,48.72514353,49.24573917,49.75831598,49.17525111,49.10966808,48.90613526,49.61860358,49.41288448,48.70004626,48.59167739,48.93464921,48.38780688,48.93311651,49.41960054,49.98297575,49.17389954,48.92111394,49.15681114,49.44380643,49.27203773,48.96096863,49.98033043,48.98126629,48.94779007,49.79984303,49.35744505,49.57742281,48.91515481,49.63389316,48.86572165,49.08893688,49.95063766,48.38298371,49.33872616,49.53990275,49.23574407,49.15855518,48.85466997,49.04005512,48.96644721,49.40565879,48.98992258,49.3523503,49.41729332
AAAS,91.95931519,91.59710373,92.97944918,92.00882353,92.04332853,92.12579194,91.93596722,91.82739847,92.7214415,92.57461101,92.39223246,92.62392173,91.70652663,92.36004061,92.51469285,92.214734,92.95257033,92.7293951,92.21242554,92.25428119,92.56814561,92.67883502,92.22468213,93.13258207,92.69960912,93.44463419,92.24598066,92.37349487,92.55649385,92.16728074,92.10019448,92.48869033,91.86541914,92.17706324,92.3897539,91.49013355,92.62126452,92.55359132,91.65560263,91.43767255,92.71169624,92.3991248,92.62878407,91.60863344,92.30435117,92.49039183,92.8698208,92.51913307,92.92652581,92.00340311,92.80635637,92.48388902,92.39958283,92.600456,92.33566509,92.13687531,92.34504537,92.61046252,92.72820191,92.60468459,92.47576973,92.47748073,91.79041674,92.70181215,92.53386918,92.38410418,92.50785732,92.3656862,92.59859641,92.79938534,92.56016817,93.03525803,92.40093988,92.59969774,92.49031469,92.17161701,92.66231836,91.98715553,92.44371018,91.78605402,92.41547711,92.05957213,93.1331495,92.72083246,92.25780305,92.17664396,92.38861496,92.09088888,92.35059679,91.42580337,92.84488583,92.0349541,92.66520291,92.56704248,92.60057398,92.84297485,92.47341719,92.58727891,92.44964096,91.98925998
AACS,553.1534705,555.0192821,550.5503334,551.6509915,553.545774,549.6538747,553.3792314,551.4778916,551.8753912,551.8117296,554.3532782,552.6682679,556.0475844,552.8469763,550.6168839,555.8304571,551.214028,550.8361467,550.7309404,552.2258304,549.5769045,551.8847105,551.2843659,550.983345,550.4895984,548.8410337,555.0906413,548.8453537,550.7363496,551.1913285,551.8361748,550.8497361,555.1256754,549.5845298,551.289721,555.0710418,551.1691211,552.9623353,554.416542,553.1334722,548.1123001,553.2375872,548.4150139,553.4283287,551.4626345,551.8951643,552.104986,554.3192571,548.8791375,551.7900963,552.4283199,554.7941098,550.5551661,551.1901884,550.4076349,552.3403949,551.1589617,553.2191037,551.6558149,549.5519845,552.2553725,551.5245942,553.9218403,551.4960216,549.809257,553.0976373,552.9724062,550.1947829,553.6009619,552.0740826,550.6603863,548.8489262,549.602211,549.6343083,549.3849218,551.9664562,548.4745027,553.3578426,551.8134125,553.5833983,552.8263812,551.0076551,548.6874403,547.8219142,551.5608781,552.4401762,550.5210133,552.9008357,550.5123016,551.9899643,551.4666784,552.2138594,551.4421424,549.893151,551.8080908,548.3952407,553.8384073,554.3669278,550.9586292,552.8845985
AADAC,11.27987174,10.96449394,10.9022221,11.24351559,10.96448467,11.23770451,10.84228523,11.01988609,11.19570695,11.1886184,11.0906882,10.85668838,10.87774848,11.06919348,10.83245249,10.9087323,10.79790484,11.1099453,10.93563051,11.05553387,11.16100481,10.76497389,10.92502872,11.03170589,10.97632209,11.06746546,10.92188673,10.93084127,11.30084146,10.77375858,10.79517207,10.83527348,10.91118937,11.10089827,10.96510278,10.79787393,11.03609157,10.91874957,10.64637886,11.25304196,10.98325335,10.87267493,11.06806857,10.98299849,11.11037296,11.4025945,10.80254316,10.95640046,10.78453104,11.03335657,10.88939876,10.93654884,11.27998632,10.99896687,11.05501859,10.90447547,11.06446005,10.8888396,10.7604036,10.87897316,10.92565994,10.97727073,10.93701339,10.91160294,11.31128861,11.08690169,11.14730283,11.15871266,10.86957238,11.21781342,11.03961484,11.04206827,11.17739839,11.19047741,11.02422965,10.99191852,11.01561793,10.99023651,11.01187272,10.95232109,10.68921333,11.04581174,11.1496111,10.98195986,11.01100391,11.01588101,10.90026759,11.0404191,11.11778765,10.84530881,11.07629637,11.22204382,10.98025299,10.98876664,11.08810431,10.99739822,10.94728064,11.04616871,11.04798945,10.66085319
AADACL2,17.09029815,16.6760124,16.92865574,17.02453439,16.73235342,17.1265512,16.81322094,16.86000261,17.13498878,17.14498305,17.06002595,16.72310952,16.99316524,16.88305357,16.7768193,16.94535317,16.81772199,17.264235,17.10037423,16.92090719,17.17254982,16.87803455,17.0497781,16.94591647,16.94187503,17.0969863,16.88081734,17.00993769,17.21735894,16.77742292,16.69952432,16.93203419,16.83805088,16.92287373,17.02638823,16.97348034,16.90985171,16.99351957,16.7486482,17.2359242,17.19493107,16.89592899,17.20323041,17.14102821,17.17183324,17.34698091,16.81066784,16.76579788,16.93442459,17.15703437,16.72927494,17.03055785,17.35290162,17.05129384,16.97014012,16.93567003,17.21479921,16.81402575,16.62694155,17.01111211,17.04695687,16.95297131,16.87727167,16.98803941,17.43473358,17.14280349,17.05673853,17.19854509,16.91758993,17.15058423,16.77950741,17.06643398,17.16629463,17.29851144,17.00300065,17.24047321,17.13803901,16.86622913,16.98673442,17.01102177,16.79428087,17.18395253,16.90065738,17.10080339,17.00244021,17.14585119,17.0713135,16.91174135,17.32293054,16.8276946,16.90373587,17.07819361,17.04114985,17.08039054,17.20202164,17.12312954,16.75110161,17.18749581,17.03377363,16.57270182
